"URL","Tiêu đề","Canonical","Meta description","Dung lượng byte","Hash","Nhóm trùng","Đề xuất","Đích chuyển hướng","Lý do"
"/2024LOOKBACK.html","Personal Blog - Yen Tran","https://yenhaitran.com/2024LOOKBACK.html","Thiếu","9971","3cceaf46ea3e","","Giữ / cần duyệt nội dung","","Chưa phát hiện trùng tên file"
"/404.html","Không tìm thấy trang | Yến Trần","https://yenhaitran.com/404.html","Thiếu","1432","dc8b76f887c8","","Giữ / cần duyệt nội dung","","Chưa phát hiện trùng tên file"
"/about.html","Giới thiệu | Yen Tran","https://yenhaitran.com/about.html","Có","26604","6aa39f8ed50f","","Giữ / cần duyệt nội dung","","Chưa phát hiện trùng tên file"
"/affiliate-dropii-mlm-amway-comparison.html","Affiliate vs Dropii/Droppii vs MLM Amway | Phân tích mô hình kinh tế","https://yenhaitran.com/affiliate-dropii-mlm-amway-comparison.html","Có","38546","6bba30b23ac6","","Giữ / cần duyệt nội dung","","Chưa phát hiện trùng tên file"
"/Ansang1.html","Redirecting...","","Thiếu","531","b988a6b15fc4","Ansang1.html","Chuyển hướng sau khi duyệt","/pages/breakfast/Ansang1.html","Trùng tên file với 1 URL khác"
"/Ansang2.html","Redirecting...","","Thiếu","531","bbab75ffc0f4","Ansang2.html","Chuyển hướng sau khi duyệt","/pages/breakfast/Ansang2.html","Trùng tên file với 1 URL khác"
"/Ansang3.html","Redirecting...","","Thiếu","531","0cda96536c11","Ansang3.html","Chuyển hướng sau khi duyệt","/pages/breakfast/Ansang3.html","Trùng tên file với 1 URL khác"
"/Ansang4.html","Redirecting...","","Thiếu","531","570cf658f94e","Ansang4.html","Chuyển hướng sau khi duyệt","/pages/breakfast/Ansang4.html","Trùng tên file với 1 URL khác"
"/Ansang5.html","Redirecting...","","Thiếu","531","cbb416100835","Ansang5.html","Chuyển hướng sau khi duyệt","/pages/breakfast/Ansang5.html","Trùng tên file với 1 URL khác"
"/Ansang6.html","Redirecting...","","Thiếu","531","777ec8a09fee","Ansang6.html","Chuyển hướng sau khi duyệt","/pages/breakfast/Ansang6.html","Trùng tên file với 1 URL khác"
"/Ansang7.html","Redirecting...","","Thiếu","531","e4c6b86a41b2","Ansang7.html","Chuyển hướng sau khi duyệt","/pages/breakfast/Ansang7.html","Trùng tên file với 1 URL khác"
"/AntiAgeTips.html","Redirecting...","","Thiếu","534","bbd6590f1eeb","AntiAgeTips.html","Chuyển hướng sau khi duyệt","/pages/health/AntiAgeTips.html","Trùng tên file với 1 URL khác"
